# ============================================================
# MCP Fusion 全局统一错误码
# 格式：错误码 | 错误描述 | 所属模块
# ============================================================

# ---- 通用 ----
E001 | 未知错误 | 通用
E002 | 参数无效 | 通用
E003 | 操作超时 | 通用
E004 | 权限不足 | 通用
E005 | 资源未找到 | 通用
E006 | 服务不可用 | 通用
E007 | 内部错误 | 通用

# ---- MCP 网关 ----
E101 | MCP 服务端连接失败 | MCP网关
E102 | MCP 服务端未找到 | MCP网关
E103 | MCP 协议不支持 | MCP网关
E104 | MCP 工具调用失败 | MCP网关
E105 | MCP 工具未注册 | MCP网关
E106 | MCP JSON-RPC 解析错误 | MCP网关
E107 | MCP 命令执行超时 | MCP网关

# ---- 工作流 ----
E201 | 工作流节点执行失败 | 工作流
E202 | 工作流校验失败 | 工作流
E203 | 工作流未找到 | 工作流
E204 | 工作流循环依赖 | 工作流
E205 | 工作流节点类型不支持 | 工作流
E206 | 工作流连线非法 | 工作流
E207 | 工作流节点数量超限 | 工作流

# ---- 意图解析 ----
E301 | 意图解析失败 | 意图解析
E302 | 自然语言模型调用失败 | 意图解析
E303 | 意图结果格式异常 | 意图解析
E304 | 意图匹配工具缺失 | 意图解析
E305 | 意图上下文不足 | 意图解析

# ---- 运行时 ----
E401 | 运行时初始化失败 | 运行时
E402 | 运行时状态异常 | 运行时
E403 | 运行时调度超时 | 运行时
E404 | 运行时结果序列化失败 | 运行时
E405 | 运行时并发限制 | 运行时
E406 | 运行时上下文丢失 | 运行时

# ---- 存储 ----
E501 | 数据库连接失败 | 存储
E502 | 数据写入失败 | 存储
E503 | 数据读取失败 | 存储
E504 | 数据迁移失败 | 存储
E505 | 版本不兼容 | 存储
E506 | 磁盘空间不足 | 存储
